SN,Trimester 1/4/7/10 & PhD 4/7,Div.,Discp,Course code with sections,Course Title,OAA Remarks,"Year 1
 2025-29
 T1/2/3","Year 2
 2024-28
 T4/5/6","Year 3
 2023-27
 T7/8/9","Year 4
 2022-26
 T10/11/12",Phd 4,Phd 7,Course Type,Credits,Faculty Name,Required for,Prerequisites to enrol for this course,Description,Is this course prerequisites for any future course?,Remarks
91,Trimester 1/4/7/10 & PhD 4/7,SCI,ENVS,ENVS232|SOCL232|HIST232|POLT232,Environmental Materialisms,New,NO,YES,YES,YES,NO,NO,Elective,4,Bharath Sundaram,Elective for ENVS Major/Minor,None,"Materials have shaped history and our everyday lives. The social, political, and economic
structures determining access to materials create varying environmental outcomes.
Environment outcomes in turn shape societies and its practices over time via the
provisioning of materials. Our current thinking about sustainability, conservation, and
environmental crises are all largely shaped by the ramifications of our material relationships.
While philosophers have expounded on the dialectic tensions between the material and the
ideal as an intrinsic feature of the human condition for a long time now, only relatively
recently have the implications of this dialectic tension been explored by scholars of the
environmental studies to better understand environmental and social concerns, both of the
present-day (overproduction, consumer culture, social-ecological fallout), and leading into
the future (New Materialism).
This course is designed to be a whirlwind tour of the various ways to think about
environmental and social contexts underpinning various kinds of materialisms. Past and
present cautionary tales of humanity’s precarious relationship with the material world the
bedrock upon which the dialectic of the material and the ideal hinges on have culminated
in ecological collapse and social strife. However, political, historical, and economic contexts
complicate these simplistic cautionary tales to a large extent with regards to causality. Lastly,
materials are what nourishes our body and our mind, and brings joy to our lives; we delight
in the textures, noises, colours, and tastes of things. Discussions on future materialisms
could be much less likely about how we value material things too much, but rather about
how we don’t value them enough (Thorpe 2014).",,Cross-listing process pending.
92,Trimester 1/4/7/10 & PhD 4/7,SCI,MATH,MATH201,Analysis I,ok,NO,YES,YES,YES,NO,NO,Required,4,Rishi Vyas,Required for Math Major/Math Minor/Math Concentration,Required Prereqisite: MATH 191: Proofs and Ideas,"The course begins with a rigorous discussion of the real numbers and an investigation of their basic properties. Certain special subsets of real numbers (open, closed, bounded) are introduced and studied. The course culminates in a formal study of the idea of a limit in the context of sequences and infinite series.",Required Prerequisite for MATH 202 Analysis II. Recommended prerequisite for MATH 213 Probability.,
93,Trimester 1/4/7/10 & PhD 4/7,SCI,MATH,MATH230,Linear Algebra,ok,NO,YES,YES,YES,NO,NO,Required,4,Vivek Tewary,Required for Math Major/Math Minor/Math Concentration,Required Prereqisite: MATH 191: Proofs and Ideas,"Linear algebra provides a systematic unified framework to consider the theory of vectors, matrices, determinants, and systems of linear equations. This course will provide a concrete introduction to these ideas.","Required Prerequisite for MATH 226 ODE, MATH 328 Numerical Methods, Recommended Prerequisite for MATH 231 Algebra 1",
94,Trimester 1/4/7/10 & PhD 4/7,SCI,MATH,MATH303,Analysis III (Formerly: MATH301),ok,NO,NO,YES,YES,NO,NO,Required,4,Gangotryi Sorcar,"Required for Math Major, Elective for Math Minor/Math Concentration",Required Prerequisite: MATH 202: Analysis II,"This course builds upon Analysis 1 and Analysis 2 by helping us generalise our understanding of notions like limits and continuity from sequences of real numbers and functions of a single real variable to more sophisticated contexts. The course begins by developing the theory of sequences of functions, and introduces the important notion of uniform convergence: continuity, differentiability, and integrability are studied in this context. This material is then used to better understand the role that polynomials play in spaces of functions and introduce the important idea of a power series.","Required Prerequisite for MATH 404 Analysis 4, MATH 427 PDE",
95,Trimester 1/4/7/10 & PhD 4/7,SCI,MATH,MATH332,Algebra II,ok,NO,NO,YES,YES,NO,NO,Required,4,K N Raghavan,"Required for Math Major, Elective for Math Minor/Math Concentration","Required Prerequisites: MATH 230: Linear Algebra, MATH 231: Algebra 1","In this course, students will be introduced to the theory of rings and fields. The language of ring theory and field theory helps describe fundamental relationships between algebra, number theory and geometry and geometry, and provides a unifying framework for describing certain types of number systems and operator spaces.The course will begin with a study of important families of rings such as Euclidean domains, Principal Ideal Domains, and Unique Factorisation Domains. After a brief discussion of polynomial rings over Unique Factorisation Domains, the course will then develop the theory of fields. We will describe how to adjoin roots of polynomials to fields, and introduce the idea of an algebraic field extension. The course will conclude with a discussion on splitting fields. ","Required Prerequisite for MATH 333 Algebra III, MATH 352 Number Theory",
96,Trimester 1/4/7/10 & PhD 4/7,SCI,MATH,MATH351,Combinatorics,ok,NO,NO,YES,YES,YES,Yes,Elective,4,Chudamani Pranesachar Anil Kumar,Elective for Math Major/Math Minor/Math Concentration,"Required Prereqisites: MATH 230: Linear Algebra, Recommended Prerequisites: MATH 231: Algebra 1, MATH 332 Algebra 2","The basic problem of combinatorics is counting the number of elements in a finite set. This course will explore techniques for enumerating f inite sets in a number of contexts through problem solving. It will follow the text Enumerative Combinatorics, Volume 1 by R P Stanley, and study selected topics from the first four chapters of the same.",Required Prerequisite for Second Level Combinatorics Course,
97,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS201|CHEM211,Mathematical Methods I,ok,NO,YES,YES,YES,NO,NO,Required/Required,4,Rama Koteswara Rao Kamineni,"ALL chemistry Major, All Physics major, minor and concentration",None,"This course will equip students with the essential mathematical tools and techniques required for advanced studies and research in chemistry and physics. Students will learn topics like linear algebra, differential equations, calculus, and complex numbers",No,No
98,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS221,Classical Physics: Energy and Force I,ok,NO,YES,YES,YES,NO,NO,Required,2,Tanmoy Chakrabarty," All Physics major, minor and concentration",None,"Dynamics is the study of the response of objects to applied forces.  Motion has been a subject of philosophical investigations since the time of Aristotle.  It took a very long time before its foundations were laid during the 18th century.  In the process, the subject of calculus was formulated as the then existing mathematical framework was inadequate to succinctly express the empirical observations.   Newton, who finally formalized the required notions to describe dynamics, encoded the known observations in three laws that bear his name.   Two major themes that underlie the conceptual framework of dynamics are force and energy.   Later developments proved Newton’s laws to be inaccurate at high speeds and small distances.   How approximate are they?   Landing on Mars at any specified location still relies on the predictions made using these laws.   For many of our endeavours in science and engineering, these laws are fantastically accurate.   An understanding of dynamics is essential to pursue any of the specialized topics in physics.   Classical dynamics is possibly the beginning of both physics and mathematical analysis. Nevertheless, it continues to inspire new ideas in both subjects.    ",No,No
99,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS211|COMP211,Electronics I,ok,NO,YES,YES,YES,NO,NO,Required/Elective,2,Tanmoy Chakrabarty,Required (2nd yr),None,"One cannot imagine the modern world without the impact of electrical and electronic devices. This course will start with a discussion of the basics of electrical circuits, both static and transient. The main course content is centered around the theory of electronic devices based on semiconductors, such as P-N junction diodes and transistors. A study of these basic devices and their applications gives us the necessary background to design advanced circuits. Finally, the course will introduce the basics of digital electronics, covering Boolean algebra and logic gates.
",No,No
100,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS226,Oscillations and Waves,ok,NO,With permission,YES,YES,NO,NO,Required,2,Tanmoy Chakrabarty,Required (3rd yr),"Mathematical Methods I, Classical Physics: Energy & Force I (recommended)","Physics describes nature using particles and waves as basic entities. Newton&#39;s laws
of motion govern the dynamics of particles. Sound, ripples on water, etc. are
undulations of the medium in which they propagate. These waves arise due to
interactions among the particles of the medium. Equations governing them are
derivable from the laws of dynamics of particles. But electromagnetic waves do not
require a medium for their propagation. Despite such fundamental differences,
these waves are describable by the same mathematical structure. Physics students
need a good grasp of these ideas since the concept of waves appears in many
contexts such as the wavefunctions in quantum theory, the phonon modes in
condensed matter, etc. This course presents the relevant physics and the
mathematical details required to understand the subject.",No,No
101,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS225,Classical Physics: Fields II,ok,NO,NO,YES,YES,NO,NO,Required,2,Nicolas Gheeraert,Required (3rd yr),Classical Physics: Fields I,"The properties of electric and magnetic fields in material media allow us to understand polarization and magnetization of materials. These have tremendous applications in the form of microwaves and electromagnets, and are useful in explaining various chemical phenomena. On the theoretical side, the work of Faraday, Maxwell and others laid the foundation for the first major ‘unification’ of forces in the history of physics – the modern theory of electromagnetism. The behaviour of electromagnetic radiation (light) emerges naturally from this theory, giving us the laws of classical optics. The fundamental incompatibility of electromagnetic theory with Newton’s mechanics was what led Einstein to his special theory of relativity.",Fundamentals of Classical Field Theory,No
102,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS227,Optics I,ok,NO,With permission,YES,YES,NO,NO,Required,2,Venkata Badram,Required (3rd yr),Mathematical Methods I (recommended),"Light, being the medium of most observations and measurements, is our window to the physical universe. In this course, we study geometrical optics, where light is described by rays. This deals with basic components like lenses, mirrors and prisms, from which instruments like telescopes and microscopes are built.  In addition, we study the wave properties of light at an introductory level. It includes phenomena such as light interference that accounts for the colours on soap bubbles and has applications ranging from quantum studies to gravitational wave detection. We will also study polarization, which is of importance in photography. In addition, we will discuss diffraction, which is used extensively to study the crystal structure of solids.",No,No
103,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS302,Statistical mechanics,New,NO,NO,YES,NO,NO,NO,Required,4,Sivakumar Srinivasan,Required (3rd yr),"Energy &amp; Entropy, Statistical Physis","Newtonian mechanics is deterministic and applies to a system
with many degrees of freedom. However, propagating a typical initial condition of the
many-body system as per the Newtonian dynamical laws is fraught with difficulties,
both conceptual and analytical. Luckily, if we are interested in a class of macroscopic
properties which correspond to a myriad of microscopic states of the system, one can
profitably employ the language of probabilities. Statistical physics of systems
thermodynamic equilibrium is such a description. A major success of statistical physics
is it provides a dynamical origin to the laws of thermodynamics, though for a restricted
class of systems called ergodic systems. The theory, nevertheless, is applicable to all
systems, microscopic and macroscopic systems included. This course is an introduction
to some of the research questions in statistical physics. Specifically, the course deals
with order theorems, critical phenomena and scaling theory.",No,No
104,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS602,Advanced statistical mechanics,Ok,NO,NO,NO,NO,YES,YES,Required,4,Sivakumar Srinivasan,Required (3rd yr),"Energy &amp; Entropy, Statistical Physis","Newtonian mechanics is deterministic and applies to a system
with many degrees of freedom. However, propagating a typical initial condition of the
many-body system as per the Newtonian dynamical laws is fraught with difficulties,
both conceptual and analytical. Luckily, if we are interested in a class of macroscopic
properties which correspond to a myriad of microscopic states of the system, one can
profitably employ the language of probabilities. Statistical physics of systems
thermodynamic equilibrium is such a description. A major success of statistical physics
is it provides a dynamical origin to the laws of thermodynamics, though for a restricted
class of systems called ergodic systems. The theory, nevertheless, is applicable to all
systems, microscopic and macroscopic systems included. This course is an introduction
to some of the research questions in statistical physics. Specifically, the course deals
with order theorems, critical phenomena and scaling theory.",No,No
105,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS401&PHYS601,Fundamentals of Classical Field Theory,ok,NO,NO,NO,YES,YES,YES,Required,4,Sushant Kumar Raut,Required (4th yr),"Classical Physics – Energy & Force II, Classical Physics – Fields II, Classical Physics – Spacetime, Quantum Physics I, Energy & Entropy","Every student of physics, irrespective of whether they wish to pursue theoretical physics or experimental physics, needs a thorough training in the core principles and conceptual structure of physics. The exposure should bring out the coherence and structure in the theories that shape our understanding of nature at all length and time scales. This course is an advanced overview of the discipline that teaches the language of physics as it is practised at advanced levels. This course will enrich and enable students so that they see experiments not as data generating endeavour but as the only way to uncover the deeper principles that seem to be at work in nature.",No,No
106,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS331,Quantum Physics II,ok,NO,NO,YES,YES,NO,NO,Required,4,Sushant Kumar Raut,Required (4th yr),"Quantum physics I, mathematical physics I","Physics is an empirical science. Its conceptual framework is revised to accommodate new empirical evidence from experiments. One of the earliest indications for the need to relook at classical physics was the blackbody emission spectrum. The experimental results were at variance with the prediction of classical physics. Max Planck proposed quantized exchanges of energy between the walls of the blackbody and the radiation within. This resolved the discrepancy between the theoretical predictions and the experimental observations. Einstein proposed quantized energy for the radiation field to explain the photoelectric effect. Bohr proposed non-radiating orbits for electrons to account for the stability of atoms and quantized angular momentum to explain their emissions spectra. All these ad hoc procedures found natural explanations in the quantum theory formulated by Heisenberg and Schrodinger. Their ideas were refined and put on firm scientific footing by Dirac, Pauli, Born, von Neumann, Jordan and others. ",No,No
107,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS360|CHEM360,Quantum information,ok,NO,NO,YES,YES,NO,NO,Required,4,Sivakumar Srinivasan,"elective for 4th year, phD ",Quantum Physics I,"There is plenty of room at the bottom” is a succinct expression by Feynman about the richness of the quantum world. How do we harness this abundance? In this course, we attempt to answer this question. Peter Shor designing a quantum search algorithm that is much faster than any known classical algorithm marked the beginning of a new paradigm. The most relevant aspect is the way we process information. Doing it the quantum way speeds up the process, makes it more efficient and surpasses, in many cases, the limits known from a classical perspective. This course begins with a discussion on information theory and introduces ideas about quantum information processing (QIP). Other topics to be covered include quantum algorithms and their experimental implementations. Students will learn to program the IBM quantum computer as well. Major corporates in IT and many leading institutes have strong research programs in QIP. That vouches for the importance of this science.",No,No
108,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS660,Advanced quantum information,ok,NO,NO,NO,NO,YES,YES,Required,4,Sivakumar Srinivasan,"elective for 4th year, phD ",Quantum Physics I,"There is plenty of room at the bottom” is a succinct expression by Feynman about the richness of the quantum world. How do we harness this abundance? In this course, we attempt to answer this question. Peter Shor designing a quantum search algorithm that is much faster than any known classical algorithm marked the beginning of a new paradigm. The most relevant aspect is the way we process information. Doing it the quantum way speeds up the process, makes it more efficient and surpasses, in many cases, the limits known from a classical perspective. This course begins with a discussion on information theory and introduces ideas about quantum information processing (QIP). Other topics to be covered include quantum algorithms and their experimental implementations. Students will learn to program the IBM quantum computer as well. Major corporates in IT and many leading institutes have strong research programs in QIP. That vouches for the importance of this science.",No,No
109,Trimester 1/4/7/10 & PhD 4/7,SCI,PSYC,PSYC201(2),Introduction to Psychology,OK,NO,YES,YES,YES,NO,NO,Required,4,Suryodhaya Sharma,"Required course for PSYC Major, PSYC Minor",None,"The Introduction of Psychology course (PSYC201) introduces students to basic concepts of General Psychology, including topics on perception, learning, memory, intelligence, motivation, emotion, and personality. In this way, it levels the field for students from varied educational settings in school who may have a differentiated exposure to psychology as an academic discipline, and prepares them for an undergraduate training in the field. Going further, the course facilitates and demands a critical examination of the psychological knowledge for real-life problems. PSYC201 is designed to introduce students to some of the classic psychological studies and thereby demonstrate the principles of some of the key areas of modern psychology as a diverse and interdisciplinary science. This course seeks to familiarise the students with the broader questions within the field of psychology and the wide range of theoretical and methodological responses that emerge from psychological knowledge.",,
110,Trimester 1/4/7/10 & PhD 4/7,SCI,PSYC,PSYC226,History & Systems of Psychology,ok,NO,YES,YES,YES,NO,NO,Elective,4,Sabah Siddiqui,Elective for Psych,PSYC201,"This course will introduce the concepts of objectivity and subjectivity, as the mirror conundrums of the discipline of psychology. Psychology is a science that explores and interrogates the psychological basis of being human, from behaviour to neurocognition, from consciousness to the unconscious, from the normal to the pathological, and from the individual to the social. This course will follow the history of ideas in the development of the field, especially at the paradigmatic moments that helped define contemporary psychology. It will introduce students to the scientific method in psychology with its emphasis on objectivity and knowledge generation through empirical research in domains such as behavioural psychology and cognitive psychology. It will then track the different routes to knowledge in psychology in domains such as social psychology and qualitative psychology. The course will explore work emerging from the Global South, drawing on domains of cultural psychology and decolonising psychological science. The final module in this course will take up a contemporary issue besetting psychology today.
",,
111,Trimester 1/4/7/10 & PhD 4/7,SCI,PSYC,PSYC239,Programming for Psychologist ,New,NO,YES,YES,YES,NO,NO,Elective,4,Rakesh SenGupta,Elective for Psych,None,"Programming for Psychologists is an undergraduate course designed to equip psychology students with computational problem-solving skills. Through hands-on exercises in Python and Octave, students will learn to think like programmers, developing scripts to analyze behavioral data, run simulations, and automate research workflows. Emphasis on real-world applications includes data visualization, statistical modeling, and research practices. The course also introduces LaTeX for creating professional reports and slides for effective presentations. By integrating coding fundamentals with psychological research methods, students will gain practical expertise in computational tools essential for advanced research, enhancing their ability to design experiments, manage datasets, and communicate findings efficiently.
",NO,Capped at 35
112,Trimester 1/4/7/10 & PhD 4/7,SCI,PSYC,PSYC203|BIOS203(2),Brain & Behaviour,ok,NO,YES,YES,YES,NO,NO,Required/Elective,4,Varun viswanath,"Required course for PSYC Major, PSYC Minor",None,"This course examines the biological basis of behaviour, and develops an understanding of the complexities of the brain and the mechanisms underlying various behavioural phenomena. How is our brain organised? How do neurons function? What is the brain basis of psychological phenomena? How do our genes and hormones influence behaviour? We will be exploring answers to these questions through interactive lectures. This course introduces various brain disorders as a clinical method to better comprehend the complexity of mind-brain connection. Lastly, we will discuss various brain recording techniques and how they are important to unravel the mystery of the brain. By integrating knowledge from biology and psychology, students gain a holistic understanding of how biological processes shape human behaviour and cognition. This course is designed to provide an introduction to the major concepts, theories, and methods in the field of behavioural neuroscience.",,
113,Trimester 1/4/7/10 & PhD 4/7,SCI,PSYC,PSYC339,Embodied Cognition ,New,NO,NO,YES,YES,NO,NO,Elective,4,Rakesh SenGupta,Elective for Psych,PSYC204,"Are you interested to understand the mind and its operations? Do you want to know
more about why intelligence is embodied and know more about the brain, body, and the mind? How are intelligence and cognition; experience and knowledge, thought and consciousness related? These questions can lead us to the most fertile approach to understand the nature of brain, body & the mind. By embracing the fields of Philosophy, Cognitive Psychology, Artificial Intelligence, Neuroscience, Linguistics, Anthropology and Social Cognition the concept embodiment will be conceptualized. In addition, theoretical insights and experimental convergence using multiple methods especially psychological and neurological experiments and computational models will be deliberated to understand the central concepts of embodiment.",,Capped at 40
114,Trimester 1/4/7/10 & PhD 4/7,SCI,PSYC,PSYC342,Evolutionary Psychology,New,NO,NO,YES,YES,NO,NO,Elective,4,Sayantan Mandal,Elective for Psych,"Cognitive  Psychology, SRM-1 ","This course provides an in-depth exploration of Evolutionary Psychology, an approach that seeks to understand the human mind and behavior through the lens of evolution and natural selection. Rooted in Darwinian theory, evolutionary psychology posits that psychological traits—like physical traits—are adaptations shaped by ancestral environments. This course will examine how evolutionary theory informs our understanding of cognition, emotion, and social behavior, and it will critically assess the evidence and arguments for these claims.
 
Students will trace the historical development of evolutionary psychology, beginning with foundational work in ethology and sociobiology, and leading to contemporary applications in cognitive and social psychology. Topics covered will include mating strategies, kin selection, parental investment, cooperation and conflict, status hierarchies, and moral emotions. Special emphasis will be placed on the interplay between evolved predispositions and cultural variability, highlighting the complex interdependence between biology and environment.
 
Students will engage with both theoretical models and empirical studies, learning to critically evaluate the methodological challenges of testing evolutionary hypotheses. They will also reflect on the ethical and philosophical implications of evolutionary explanations for human behavior. By the end of the course, students will be equipped with a framework for understanding psychological mechanisms as adaptive solutions to recurrent problems in human ancestral environments, while also remaining sensitive to the scientific and societal debates surrounding this approach.",,
115,Trimester 1/4/7/10 & PhD 4/7,SCI,PSYC,PSYC304(2),Developmental Psychology,New,NO,NO,YES,YES,NO,NO,Required,4,Madhavi Maganti,"Required course for PSYC Major, PSYC Minor","SRM 1, INTRODUCTION TO Psychology","The course examines developmental changes across different domains of development from conception to old age by addressing four fundamental questions related to human development: continuity, plasticity, sources of development, individual differences across cultures. From empirical evidence and theoretical perspectives, students will gain a deeper understanding of how biological predispositions and environmental contexts interact to mold individuals' developmental trajectories across time periods. The essence is  to explore the course of development by understanding the  intricate interplay of biological, cognitive, emotional, and social factors that shape individuals from infancy through old age.
",,
116,Trimester 1/4/7/10 & PhD 4/7,SCI,PSYC,PSYC204,Cognitive Psychology,Ok,NO,NO,YES,YES,NO,NO,Required,4,Suhail Ahmad & Sayantan Mandal,"Required course for PSYC Major, PSYC Minor",SRM-1; INTRODUCTION TO PSYCHOLOGY,"This course provides an in-depth exploration of the internal processes involved in perceiving, interpreting, and responding to the environment. Students will examine various cognitive processes, including perception, attention, learning, memory, language, problem-solving, reasoning, and thinking. Through a combination of theoretical discussions, experimental demonstrations, and empirical studies, students will gain a comprehensive understanding of how these processes influence human behavior.

",,
117,Trimester 1/4/7/10 & PhD 4/7,SCI,PSYC,PSYC433,"Early Childhood Development: interventions, policies and programs",New,NO,NO,YES,YES,NO,NO,Elective,4,Madhavi Maganti,Elective for Psych,"Developmental Psychology, SRM-1 ","This course explores the foundational principles of early childhood development (ECD) and the role of interventions and policies in shaping developmental outcomes. Drawing from psychology, public health, education, and social policy, students will examine how early experiences—from birth through age eight—impact cognitive, social-emotional, and physical development.
Through a multidisciplinary lens, the course will critically analyze evidence-based interventions and policy frameworks designed to support children and families, especially in contexts of adversity. Topics include responsive caregiving, early learning, nutrition, health, and child protection, with a focus on global and local examples. Students will engage with case studies, research articles, and policy documents to understand how science translates into practice and how cultural, economic, and institutional factors influence the effectiveness of early childhood programs.
By the end of the course, students will be equipped to evaluate and discuss the design, implementation, and impact of early childhood interventions and policies, and to consider their implications for equity, social justice, and long-term societal well-being.",,
118,Trimester 1/4/7/10 & PhD 4/7,SCI,PSYC,PSYC490,Capstone Thesis Project,Capstone,NO,NO,NO,YES,NO,NO,Elective,4,TBD,-,,,,
119,Trimester 1/4/7/10 & PhD 4/7,SCI,PSYC,PSYC491,Independent Research Study,,,,,,,,Elective,,,,,,,
120,Trimester 1/4/7/10 & PhD 4/7,SCI,PSYC,PSYC391,Independent Research Study,,,,,,,,Elective,,,,,,,
121,Trimester 1/4/7/10 & PhD 4/7,HSS,ECON,ECON391,Independent Research Study,,,,,,,,Elective,,,,,,,
122,Trimester 1/4/7/10 & PhD 4/7,HSS,ECON,ECON491,Independent Research Study,,,,,,,,Elective,,,,,,,
123,Trimester 1/4/7/10 & PhD 4/7,SCI,ENVS,ENVS391,Independent Research Study,,,,,,,,Elective,,,,,,,
124,Trimester 1/4/7/10 & PhD 4/7,SCI,ENVS,ENVS491,Independent Research Study,,,,,,,,Elective,,,,,,,
125,Trimester 1/4/7/10 & PhD 4/7,HSS,HIST,HIST391,Independent Research Study,,,,,,,,Elective,,,,,,,
126,Trimester 1/4/7/10 & PhD 4/7,HSS,HIST,HIST491,Independent Research Study,,,,,,,,Elective,,,,,,,
127,Trimester 1/4/7/10 & PhD 4/7,HSS,POLT,POLT391,Independent Research Study,,,,,,,,Elective,,,,,,,
128,Trimester 1/4/7/10 & PhD 4/7,HSS,POLT,POLT491,Independent Research Study,,,,,,,,Elective,,,,,,,
129,Trimester 1/4/7/10 & PhD 4/7,HSS,SOCL,SOCL391,Independent Research Study,,,,,,,,Elective,,,,,,,
130,Trimester 1/4/7/10 & PhD 4/7,HSS,SOCL,SOCL491,Independent Research Study,,,,,,,,Elective,,,,,,,
131,Trimester 1/4/7/10 & PhD 4/7,SCI,BIOS,BIOS391,Independent Research Study,,,,,,,,Elective,,,,,,,
132,Trimester 1/4/7/10 & PhD 4/7,SCI,BIOS,BIOS491,Independent Research Study,,,,,,,,Elective,,,,Ways of Knowing 2: Methods and Communication,,,
133,Trimester 1/4/7/10 & PhD 4/7,SCI,CHEM,CHEM391,Independent Research Study,,,,,,,,Elective,,,,,,,
134,Trimester 1/4/7/10 & PhD 4/7,SCI,CHEM,CHEM491,Independent Research Study,,,,,,,,Elective,,,,,,,
135,Trimester 1/4/7/10 & PhD 4/7,SCI,COMP,COMP391,Independent Research Study,,,,,,,,Elective,,,,,,,
136,Trimester 1/4/7/10 & PhD 4/7,SCI,COMP,COMP491,Independent Research Study,,,,,,,,Elective,,,,,,,
137,Trimester 1/4/7/10 & PhD 4/7,SCI,DATA,DATA391,Independent Research Study,,,,,,,,Elective,,,,,,,
138,Trimester 1/4/7/10 & PhD 4/7,SCI,DATA,DATA491,Independent Research Study,,,,,,,,Elective,,,,,,,
139,Trimester 1/4/7/10 & PhD 4/7,SCI,MATH,MATH391,Independent Research Study,,,,,,,,Elective,,,,,,,
140,Trimester 1/4/7/10 & PhD 4/7,SCI,MATH,MATH491,Independent Research Study,,,,,,,,Elective,,,,,,,
141,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS391,Independent Research Study,,,,,,,,Elective,,,,,,,
142,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS491,Independent Research Study,,,,,,,,Elective,,,,,,,
143,Trimester 1/4/7/10 & PhD 4/7,LAA,LITT,LITT391,Independent Research Study,,,,,,,,Elective,,,,,,,
144,Trimester 1/4/7/10 & PhD 4/7,LAA,LITT,LITT491,Independent Research Study,,,,,,,,Elective,,,,,,,
145,Trimester 1/4/7/10 & PhD 4/7,HSS,ECON,ECON490,Capstone Thesis Project,,,,,,,,,,,,,,,
146,Trimester 1/4/7/10 & PhD 4/7,HSS,HIST,HIST490,Capstone Thesis Project,,,,,,,,,,,,,,,
147,Trimester 1/4/7/10 & PhD 4/7,HSS,POLT,POLT490,Capstone Thesis Project,,,,,,,,,,,,,,,
148,Trimester 1/4/7/10 & PhD 4/7,HSS,SOCL,SOCL490,Capstone Thesis Project,,,,,,,,,,,,,,,
,Trimester 1/4/7/10 & PhD 4/7,SCI,BIOS,BIOS490,Capstone Thesis Project,,,,,,,,,,,,,,,
,Trimester 1/4/7/10 & PhD 4/7,SCI,COMP,COMP490,Capstone Thesis Project,,,,,,,,,,,,,,,
,Trimester 1/4/7/10 & PhD 4/7,SCI,DATA,DATA490,Capstone Thesis Project,,,,,,,,,,,,,,,
,Trimester 1/4/7/10 & PhD 4/7,SCI,ENVS,ENVS490,Capstone Thesis Project,,,,,,,,,,,,,,,
,Trimester 1/4/7/10 & PhD 4/7,SCI,MATH,MATH490,Capstone Thesis Project,,,,,,,,,,,,,,,
,Trimester 1/4/7/10 & PhD 4/7,SCI,PHYS,PHYS490,Capstone Thesis Project,,,,,,,,,,,,,,,
,Trimester 1/4/7/10 & PhD 4/7,LAA,LITT,LITT490,Capstone Thesis Project,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,Div.,Discp,Course code with sections,Course Title,,"Year 1
 2024-28
 T1/2/3","Year 2
 2023-27
 T4/5/6","Year 3
 2022-26
 T7/8/9","Year 4
 2021-25
 T10/11/12",Phd 5,Phd 8,Course Type,Credits,Faculty Name,Required for,Prerequisites to enrol for this course,Description,Is this course prerequisites for any future course?,Remarks
,Trimester 2/5/8/11 & PhD 5/8,KCCS,KCCS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,KCCS,KCCS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,KCCS,KCCS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,KCCS,KCCS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,PP,PP,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
